EVENT_CATEGORY,EVENT_GROUP,EVENT_SUBGROUP,EVENT_TYPE,PLACE,PROVINCE
Disaster,Natural,Meteorological - Hydrological,Flood,"Roseau River First Nation, Sioux Falls, Peguis First Nation, St. Andrews, St. Clements and Selkirk MB",MB
Disaster,Natural,Geological,Landslide,Echo Harbour BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,MB
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,NB
Disaster,Natural,Meteorological - Hydrological,Flood,Dawson YT,YT
Disaster,Natural,Meteorological - Hydrological,Flood,"Rideau, Chaudi̬re and Quyon Rivers QC",QC
Disaster,Natural,Meteorological - Hydrological,Flood,Pike Lake SK,SK
Disaster,Natural,Geological,Tsunami,Burin Peninsula NL,NL
Disaster,Natural,Geological,Landslide,Capreol ON,ON
Disaster,Natural,Geological,Landslide,Crerar ON,ON
Disaster,Natural,Geological,Earthquake,Baffin Bay NU,NU
Disaster,Natural,Meteorological - Hydrological,Flood,Plaster Rock NB,NB
Disaster,Natural,Geological,Landslide,St-Gregoire-de-Montmercy QC,QC
Disaster,Natural,Meteorological - Hydrological,Wildfire,Rainy River and Dance Township ON,ON
Disaster,Natural,Meteorological - Hydrological,Wildfire,Gogama ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,"Burin Peninsula, St. John's and Little St. Lawrence NL",NL
Disaster,Natural,Meteorological - Hydrological,Hurricane,Charlottetown PE,PE
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Toronto ON,ON
Disaster,Natural,Meteorological - Hydrological,Tornado,Windsor to Tecumseh ON,ON
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Okanagan Valley BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Elgin NB,NB
Disaster,Natural,Meteorological - Hydrological,Flood,Southern ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Bristol NB,NB
Disaster,Natural,Meteorological - Hydrological,Flood,Red Deer River AB,AB
Disaster,Natural,Meteorological - Hydrological,Tornado,Regina SK,SK
Disaster,Natural,Meteorological - Hydrological,Wildfire,Mississagi ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Fraser River BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,St. John's NL,NL
Disaster,Natural,Geological,Earthquake,Off Queen Charlotte Islands BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,NB
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,MB
Disaster,Natural,Meteorological - Hydrological,Flood,Bow River BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Sumas and Chilliwack BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,"Stephenville Crossing, Summerside NL",NL
Disaster,Natural,Meteorological - Hydrological,Flood,Eastend SK,SK
Disaster,Natural,Meteorological - Hydrological,Storm - Other,Lake Superior ON,ON
Disaster,Natural,Meteorological - Hydrological,Tornado,Sarnia ON,ON
Disaster,Natural,Meteorological - Hydrological,Heat Event,Toronto ON,ON
Disaster,Natural,Meteorological - Hydrological,Tornado,White Point Beach NS,NS
Disaster,Natural,Meteorological - Hydrological,Avalanche,Lake Louise AB,AB
Disaster,Natural,Geological,Landslide,Nicolet QC,QC
Disaster,Natural,Meteorological - Hydrological,Hurricane,Toronto ON,ON
Disaster,Natural,Geological,Landslide,Peace River BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Thetford Mines QC,QC
Disaster,Natural,Geological,Landslide,Prince Rupert BC,BC
Disaster,Natural,Meteorological - Hydrological,Winter Storm,St. John's NL,NL
Disaster,Natural,Meteorological - Hydrological,Tornado,Amaranth MB,MB
Disaster,Natural,Meteorological - Hydrological,Winter Storm,St. John's NL,NL
Disaster,Natural,Geological,Landslide,Revelstoke BC,BC
Disaster,Natural,Meteorological - Hydrological,Avalanche,"The Battery, St. John's Harbour NL",NL
Disaster,Natural,Meteorological - Hydrological,Flood,Timmins ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,MB
Disaster,Natural,Geological,Landslide,McBride BC,BC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Montreal QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,NB
Disaster,Natural,Geological,Landslide,Toulnustouc River QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,"Hay River Township, south shore of Great Slave Lake NT",NT
Disaster,Natural,Geological,Landslide,Saint-Joachim-de-Tourelle QC,QC
Disaster,Natural,Geological,Landslide,Ramsey Arm BC,BC
Disaster,Natural,Geological,Tsunami,Port Alberni BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,St. Lawrence River QC,QC
Disaster,Natural,Geological,Landslide,Hope BC,BC
Disaster,Natural,Geological,Landslide,Ocean Falls BC,BC
Disaster,Natural,Meteorological - Hydrological,Avalanche,Granduc Mine BC,BC
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Winnipeg MB,MB
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,MB
Disaster,Natural,Meteorological - Hydrological,Flood,Baie-Comeau QC,QC
Disaster,Natural,Meteorological - Hydrological,Tornado,Huron and Perth counties ON,ON
Disaster,Natural,Geological,Landslide,Camp Creek BC,BC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Lambeth ON,ON
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Halifax NS,NS
Disaster,Natural,Geological,Landslide,Porteau BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Qu'Appelle River Basin SK,SK
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,MB
Disaster,Natural,Meteorological - Hydrological,Flood,Iroquois NB,NB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Edmonton AB,AB
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Montreal QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,NB
Disaster,Natural,Meteorological - Hydrological,Winter Storm,St. John's NL,NL
Disaster,Natural,Meteorological - Hydrological,Flood,Chaudi̬re River QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,MB
Disaster,Natural,Meteorological - Hydrological,Tornado,"Sudbury, Lively, Coppercliff and Field ON",ON
Disaster,Natural,Meteorological - Hydrological,Avalanche,Terrace BC,BC
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Montreal QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Montreal QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Saint-Jean QC,QC
Disaster,Natural,Geological,Landslide,Fraser Canyon BC,BC
Disaster,Natural,Geological,Landslide,Saint-Jean-Vianney QC,QC
Disaster,Natural,Meteorological - Hydrological,Tornado,"Maniwaki, D̩l̩age, Egan, South Region of Outaouais QC",QC
Disaster,Natural,Meteorological - Hydrological,Hurricane,Dartmouth NS,NS
Disaster,Natural,Meteorological - Hydrological,Hurricane,Victoriaville QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Richelieu River QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Lake Huron ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Prince George BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Corner Brook NL,NL
Disaster,Natural,Meteorological - Hydrological,Flood,Smoky and Peace River Basins AB,AB
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Barrie ON,ON
Disaster,Natural,Geological,Landslide,Harbour Breton NL,NL
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Cedoux SK,SK
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,NB
Disaster,Natural,Meteorological - Hydrological,Flood,Maniwaki QC,QC
Disaster,Natural,Meteorological - Hydrological,Tornado,Windsor ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,NB
Disaster,Natural,Meteorological - Hydrological,Flood,"Hay River Township, south shore of Great Slave Lake NT",NT
Disaster,Natural,Meteorological - Hydrological,Flood,Cambridge/Waterloo Region ON,ON
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Charlottetown PE,PE
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,"Saint John, Sussex Corner and Chaleur Bay NB",NB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Vancouver Island BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Southwestern AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,Regina SK,SK
Disaster,Natural,Geological,Landslide,Devastation Glacier BC,BC
Disaster,Natural,Meteorological - Hydrological,Tornado,Saint Bonaventure QC,QC
Disaster,Natural,Meteorological - Hydrological,Hurricane,�_les-de-la-Madeleine QC,QC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Lake Superior ON,ON
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Region of Quebec City and Trois-Rivi̬res QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Grand Falls NL,NL
Disaster,Natural,Meteorological - Hydrological,Storm Surge,"Western, Central and Northern NS",NS
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Niagara Peninsula ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Corner Brook NL,NL
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,NB
Disaster,Natural,Meteorological - Hydrological,Flood,Assiniboine River MB,MB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Fundy Isles NB,NB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Moncton NB,NB
Disaster,Natural,Meteorological - Hydrological,Flood,"Fort McMurray, Rainbow Lake AB",AB
Disaster,Natural,Meteorological - Hydrological,Flood,Toronto ON,ON
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Winnipeg MB,MB
Disaster,Natural,Meteorological - Hydrological,Flood,Milk River and area AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,Edmonton AB,AB
Disaster,Natural,Meteorological - Hydrological,Hurricane,St. John's NL,NL
Disaster,Natural,Meteorological - Hydrological,Flood,Calgary AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,Lethbridge AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,Peace River AB,AB
Disaster,Natural,Meteorological - Hydrological,Avalanche,Golden BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Dawson YT,YT
Disaster,Natural,Meteorological - Hydrological,Flood,Red River region MB,MB
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Montreal QC,QC
Disaster,Natural,Meteorological - Hydrological,Tornado,Woodstock ON,ON
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Drumheller AB,AB
Disaster,Natural,Geological,Landslide,"Belmoral Mine, Val d'Or, QC",QC
Disaster,Natural,Meteorological - Hydrological,Flood,Vancouver Island BC,BC
Disaster,Natural,Meteorological - Hydrological,Wildfire,Red Lake ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Gasp̩sie Region QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Squamish River BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Edmonton AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,Sussex NB,NB
Disaster,Natural,Meteorological - Hydrological,Flood,Southeastern ON,ON
Disaster,Natural,Meteorological - Hydrological,Avalanche,Golden BC,BC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Calgary AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,Westfield and Grand Bay NB,NB
Disaster,Natural,Geological,Landslide,Squamish BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Hay River NT,NT
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Greater Vancouver BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Aklavik NT,NT
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Labrador City NL,NL
Disaster,Natural,Meteorological - Hydrological,Winter Storm,�_les-de-la-Madeleine QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Sherbrooke QC,QC
Disaster,Natural,Meteorological - Hydrological,Tornado,Montreal (Sainte-Rose) QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Grande Prairie AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,"North shore of St. Lawrence River, and Yamachiche Maskinonge River basins QC",QC
Disaster,Natural,Meteorological - Hydrological,Tornado,Reeces Corners ON,ON
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Regina SK and Edmonton AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,Badger NL,NL
Disaster,Natural,Meteorological - Hydrological,Flood,"upper Richelieu River, Montr̩al QC",QC
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Regina SK,SK
Disaster,Natural,Meteorological - Hydrological,Storm - Other,Edmonton AB,AB
Disaster,Natural,Meteorological - Hydrological,Storm Surge,Cape Breton Island NS,NS
Disaster,Natural,Meteorological - Hydrological,Flood,Gasp̩sie QC,QC
Disaster,Natural,Meteorological - Hydrological,Flood,Avalon Peninsula NL,NL
Disaster,Natural,Meteorological - Hydrological,Tornado,Grande Prairie and Drayton Valley AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,Truro NS,NS
Disaster,Natural,Meteorological - Hydrological,Flood,Lower Fraser River Valley BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,NB
Disaster,Natural,Meteorological - Hydrological,Winter Storm,St. John's NL,NL
Disaster,Natural,Meteorological - Hydrological,Storm - Other,Chesley ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,"Hay River Township, south shore of Great Slave Lake NT",NT
Disaster,Natural,Meteorological - Hydrological,Tornado,London ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Pemberton area BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Chatham ON,ON
Disaster,Natural,Meteorological - Hydrological,Thunderstorms,Windsor ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Lake Erie ON,ON
Disaster,Natural,Meteorological - Hydrological,Tornado,Hopeville to Barrie ON,ON
Disaster,Natural,Meteorological - Hydrological,Wildfire,Northeast of Vancouver BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Lake Huron and Lake Erie ON,ON
Disaster,Natural,Geological,Landslide,Brantford ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Riviere Chaudi̬re QC,QC
Disaster,Natural,Meteorological - Hydrological,Wildfire,Valrita-Harty ON,ON
Disaster,Natural,Meteorological - Hydrological,Avalanche,Blue River BC,BC
Disaster,Natural,Meteorological - Hydrological,Heat Event,Vancouver and Fraser BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,"Assiniboine, Roseau and Red Rivers MB",MB
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Towns of Slave Lake, High Prairie, Little Buffalo, Lesser Slave Lake, Municipal Districts of Lesser Slave River, Red Earth Creek, and Loon Lake Whitefish Atikameg, and Woodland Cree First Nations AB",AB
Disaster,Natural,Meteorological - Hydrological,Flood,Saint-Jean-sur-Richelieu (Richelieu River) QC,QC
Disaster,Natural,Meteorological - Hydrological,Wildfire,Hall Lake SK,SK
Disaster,Natural,Meteorological - Hydrological,Flood,"Dauphin Lake, Souris River, Assiniboine River, Pipestone Creek, Oak Lake, Plum Lakes, Plum Creek, and the Qu'Appelle River MB",MB
Disaster,Natural,Meteorological - Hydrological,Flood,Wollaston Lake SK,SK
Disaster,Natural,Meteorological - Hydrological,Flood,Brandon MB,MB
Disaster,Natural,Meteorological - Hydrological,Flood,Weyburn and Estavan SK,SK
Disaster,Natural,Meteorological - Hydrological,Flood,Calgary AB,AB
Disaster,Natural,Meteorological - Hydrological,Flood,Yarmouth and Halifax NS,NS
Disaster,Natural,Meteorological - Hydrological,Hurricane,Liverpool NS,NS
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Wolfe Lake and Moncton NB,NB
Disaster,Natural,Meteorological - Hydrological,Hurricane,Yarmouth County NS,NS
Disaster,Natural,Meteorological - Hydrological,Wildfire,"Mishkeegogamang Ojibway First Nation (New Osnaburgh), Northern ON",ON
Disaster,Natural,Meteorological - Hydrological,Flood,"Eckville, Lacombe, Paddle River, Fort Vermilion, and Peace River AB",AB
Disaster,Natural,Meteorological - Hydrological,Tornado,Goderich ON,ON
Disaster,Natural,Meteorological - Hydrological,Flood,Kingcome Inlet and Bella Coola BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,Duncan and North Cowichan (Vancouver Island) BC,BC
Disaster,Natural,Meteorological - Hydrological,Flood,"Perth-Andover, NB",NB
Disaster,Natural,Meteorological - Hydrological,Flood,"Sicamous, BC",BC
